time,open,high,low,close,volume,turnover,date,class,norm_revenue
2023-07-07 10:00:00,30140.51,30167.15,30093.17,30165.42,159.934808,4818848.96921765,2023-07-07,-1,1.0
2023-07-07 11:00:00,30165.42,30197.38,30101.17,30119.38,171.644989,5174644.74730053,2023-07-07,1,0.0
2023-07-07 12:00:00,30119.38,30357.4,30044.02,30203.17,758.052116,22885026.60703909,2023-07-07,0,0.10199220637502447
2023-07-07 13:00:00,30203.17,30387.44,30129.99,30385.7,384.390089,11636947.25756883,2023-07-07,0,0.8944950472122707
2023-07-07 14:00:00,30385.7,30442.88,30267.17,30410.0,527.298543,16002727.77038818,2023-07-07,-1,1.0
2023-07-07 15:00:00,30410.0,30425.16,30312.03,30395.21,277.298144,8420799.02279527,2023-07-07,0,0.9357852571304257
2023-07-07 16:00:00,30395.21,30451.74,30320.99,30355.88,222.603073,6761112.54063665,2023-07-07,0,0.7650235372480669
2023-07-07 17:00:00,30355.88,30367.17,30180.3,30237.32,337.720444,10223808.46677948,2023-07-07,0,0.25026357006643274
2023-07-07 18:00:00,30237.32,30249.18,30119.17,30167.73,222.466366,6715333.89929753,2023-07-07,1,0.0
2023-07-07 19:00:00,30167.73,30242.85,30138.5,30242.85,206.4278,6232867.40881751,2023-07-07,0,0.11388098232606725
2023-07-07 20:00:00,30242.85,30299.16,30215.21,30264.99,149.467654,4521178.22386999,2023-07-07,0,0.28511843585931007
2023-07-07 21:00:00,30264.99,30343.65,30264.44,30286.9,143.225979,4341261.44599756,2023-07-07,0,0.4545769998571784
2023-07-07 22:00:00,30286.9,30343.75,30285.68,30302.38,92.378339,2799851.69776482,2023-07-07,0,0.5743039998885316
2023-07-07 23:00:00,30302.38,30343.16,30287.99,30343.15,81.366703,2466855.01101581,2023-07-07,-1,0.8896315057850727
2023-07-08 00:00:00,30343.15,30343.16,30271.86,30285.2,88.069434,2668941.3318919,2023-07-08,0,0.4414286859002409
2023-07-08 01:00:00,30285.2,30304.48,30259.62,30304.48,65.200716,1974561.39172813,2023-07-08,0,0.5905460347764951
2023-07-08 02:00:00,30304.48,30389.68,30285.53,30357.42,137.543931,4171189.9301869,2023-07-08,-1,1.0
2023-07-08 03:00:00,30357.42,30359.77,30275.17,30279.17,79.234121,2401796.00436156,2023-07-08,0,0.39479084286475163
2023-07-08 04:00:00,30279.17,30280.02,30230.4,30239.17,140.499611,4250755.57189786,2023-07-08,0,0.08541874976047129
2023-07-08 05:00:00,30239.17,30243.15,30192.24,30243.15,130.8762,3954769.85822054,2023-07-08,0,0.11620127302437186
2023-07-08 06:00:00,30243.15,30254.97,30149.18,30181.56,160.583826,4849604.8645256,2023-07-08,0,-0.3601544073329449
2023-07-08 07:00:00,30181.56,30223.17,30177.18,30195.72,76.252792,2303080.72790069,2023-07-08,0,-0.25063668637403075
2023-07-08 08:00:00,30195.72,30311.17,30195.72,30277.16,186.330232,5639440.38226275,2023-07-08,0,0.37924489518627386
2023-07-08 09:00:00,30277.16,30280.0,30226.01,30247.19,56.187238,1700299.08489684,2023-07-08,0,0.1474478544278828
2023-07-08 10:00:00,30247.19,30251.17,30225.17,30225.17,46.868445,1417074.04792872,2023-07-08,0,-0.02286148282602687
2023-07-08 11:00:00,30225.17,30225.18,30162.0,30205.16,97.40354,2940495.42349709,2023-07-08,0,-0.1776248724014307
2023-07-08 12:00:00,30205.16,30212.0,30156.26,30172.0,95.888903,2895088.5285048,2023-07-08,1,0.0
2023-07-08 13:00:00,30172.0,30238.61,30172.0,30215.18,83.793038,2532068.71197132,2023-07-08,0,-0.13319989770041418
2023-07-08 14:00:00,30215.18,30230.0,30200.0,30209.99,39.348997,1188946.31953924,2023-07-08,1,-0.0
2023-07-08 15:00:00,30209.99,30222.6,30187.17,30210.0,43.775137,1322311.33497083,2023-07-08,0,5.512116895949788
2023-07-08 16:00:00,30210.0,30316.0,30210.0,30254.87,139.137321,4209954.75990083,2023-07-08,0,1.4220424490555978
2023-07-08 17:00:00,30254.87,30278.0,30244.37,30259.5,53.952073,1632496.76967356,2023-07-08,-1,1.0
2023-07-08 18:00:00,30259.5,30259.5,30188.58,30197.99,59.834873,1808107.79302315,2023-07-08,0,6.606874954946751
2023-07-08 19:00:00,30197.99,30198.0,30050.0,30113.78,365.233257,10993296.07941027,2023-07-08,1,0.0
2023-07-08 20:00:00,30113.78,30162.0,30059.75,30160.0,106.868717,3217968.18120813,2023-07-08,0,-0.08418711349113854
2023-07-08 21:00:00,30160.0,30198.07,30150.65,30181.17,73.773852,2226369.81072957,2023-07-08,0,0.04250185925603666
2023-07-08 22:00:00,30181.17,30227.17,30169.17,30226.41,48.417829,1461692.20135316,2023-07-08,0,0.31323445855140186
2023-07-08 23:00:00,30226.41,30290.0,30218.79,30288.01,112.182657,3394015.1498502,2023-07-08,0,0.681871242737819
2023-07-09 00:00:00,30288.01,30347.09,30252.84,30341.17,169.464108,5135387.50863979,2023-07-09,-1,1.0
2023-07-09 01:00:00,30341.17,30400.0,30298.0,30330.0,141.548033,4296657.17288728,2023-07-09,0,0.9331546610493224
2023-07-09 02:00:00,30330.0,30366.64,30269.6,30303.99,140.332882,4253971.13504749,2023-07-09,0,0.7775013695446414
2023-07-09 03:00:00,30303.99,30319.17,30265.18,30287.48,99.93473,3027708.06338658,2023-07-09,0,0.6786995301466117
2023-07-09 04:00:00,30287.48,30298.5,30277.18,30282.89,50.607563,1532836.89256407,2023-07-09,0,0.6512313022340184
2023-07-09 05:00:00,30282.89,30303.31,30260.0,30263.16,73.869597,2237336.68688694,2023-07-09,0,0.533159812753531
2023-07-09 06:00:00,30263.16,30268.0,30243.35,30255.99,62.647505,1895350.9259156,2023-07-09,1,-0.0
2023-07-09 07:00:00,30255.99,30283.17,30237.18,30265.99,93.30538,2824035.18110552,2023-07-09,0,3.472780775900618
2023-07-09 08:00:00,30265.99,30309.17,30265.98,30302.0,52.232885,1582269.63593759,2023-07-09,-1,1.0
2023-07-09 09:00:00,30302.0,30302.0,30246.07,30273.99,54.980923,1664316.37623469,2023-07-09,0,2.9234265352117585
2023-07-09 10:00:00,30273.99,30297.17,30263.21,30269.18,60.490779,1831812.38457591,2023-07-09,0,3.253725772426025
2023-07-09 11:00:00,30269.18,30287.17,30250.0,30267.99,46.248287,1399907.48689346,2023-07-09,1,0.0
2023-07-09 12:00:00,30267.99,30348.28,30254.74,30330.01,119.633352,3624777.01810082,2023-07-09,-1,0.06799764160063575
2023-07-09 13:00:00,30330.01,30350.0,30259.17,30266.0,67.341091,2041452.73721484,2023-07-09,0,-2.9897917464637205
2023-07-09 14:00:00,30266.0,30449.0,30188.88,30343.27,315.665926,9565018.17515601,2023-07-09,0,0.7014344059459038
2023-07-09 15:00:00,30343.27,30388.68,30280.34,30349.52,169.829167,5153391.53572661,2023-07-09,-1,1.0
2023-07-09 16:00:00,30349.52,30349.52,30282.3,30287.97,82.269591,2493611.14211863,2023-07-09,0,-1.9402739702447058
2023-07-09 17:00:00,30287.97,30297.0,30261.26,30294.1,119.235649,3609949.85895371,2023-07-09,0,-1.6474408355965728
2023-07-09 18:00:00,30294.1,30301.51,30262.27,30262.53,63.096149,1910541.17996037,2023-07-09,0,-3.1555553642826104
2023-07-09 19:00:00,30262.53,30265.17,30210.01,30248.42,75.719405,2289606.49288649,2023-07-09,0,-3.8295970494191662
